 
 NAVY INVENTORY MGMT SYSTEM
 Product Details 
Export Time : Wed Sep 21 19:43:22 2022


 S.No, Product Code,"Product Name","Product Company","Qty","Price"
1,23,Twothree,Twothreefompan,26,20
2,2,Two,Twocompany,500,200
3,12,Twelve,Twelvevompns,1200,300
4,10,Ten,Tenn,20,12
5,15,Fifteen,Companyfifteen,123,123
6,30,Thirty,Thirtycompnay,1500,3
7,100,Nabaraj,Dhungel,123,123
8,90,Ninety,NinetyCompany,1550,23
9,3,Four,Fourcomapny,4000,4
10,321,Threiewerto,Sadf,300,10
 
 NAVY INVENTORY MGMT SYSTEM
 Product Details 
Export Time : Fri Sep 23 23:07:25 2022


 S.No, Product Code,"Product Name","Product Company","Qty","Price"
1,1,One,Onec,1,38
2,2,Two,Twoc,2,10
3,3,Three,Threec,3,30
4,4,Four,Fourc,4,44
5,5,Five,Fivec,5,49
6,123,Onetwothree,Conetwothreec,1500,50
